Adam Wingard
Ashley Douglass
Brian Avery Galligan
Kerry Lyn McKissick
David H. Venghaus Jr.
George Cottle
Jon Watts
Enrico Casarosa
Kelly Bonbright
Rayna Helgens
Craig Gillespie
Byron Howard
Charise Castro Smith
Jared Bush
Anthony Russo
Chris Castaldi
Edward Catley
Joe Russo
Mark Johnston
Simon Downes
Kimi Webber
Zack Snyder
Justin Lin
Todd Phillips
Carlos López Estrada
Don Hall
John Ripa
Paul Briggs
Andy Serkis
Brian Smrz
K.C. Hodenfield
Max Sturgeon
Simon McQuoid
James Gunn
Annie Penn
Charlotte Mason-Apps
Chris Carreras
Chris Columbus
David R. Ellis
Ian Dray
Michael Michael
Michael Stevenson
R.J. Mino
Kemp Powers
Pete Docter
Malcolm D. Lee
Josh Cooley
""
Jenny Gage
David Waters
Jeffrey Wetzel
Joann Connolly
Jody Blose
Michael Chaves
Alexander Yurchikov
Cate Shortland
Glen Caroll
Jamie Christopher
Josh Goodman
Mark Cockren
Philip Banks
Roger Kumble
Jeff Fowler
Justin Muller
Derek Drymon
Jennifer Kluska
Patty Jenkins
Toby Hefferman
Adrian Molina
Lee Unkrich
Alleris Gillham
Artur Surma
Jelena Grisina
Josh Robertson
Tom Brewster
Tom Waterman
Tom McGrath
Garth Jennings
Eli Sasich
Hajar Mainl
Lori Grabowski
Mark Rossini
Jaume Collet-Serra
Niki Caro
Everardo Gout
James Moran
Mike Gunther
Vickie M. Hsieh
Adam Bocknek
Andy Muschietti
Michael Lerman
Joel Crawford
Carolina Jiménez
Isaac Nadreau
Josh McLaglen
Shawn Levy
Chloé Zhao
Dan DeLeeuw
Joe Geary
Simon Warnock
Dan Scanlon
Chris McKay
Jon Favreau
Cathy Yan
Tim Story
Bong Joon-ho
Anna Boden
Jeff Habberstad
Lars P. Winther
Ryan Fleck
James Foley
