Nombre,Género,Año,Duración,Rating,Link
Godzilla vs Kong," Acción, Ciencia Ficción, Thriller",2021,1h 53m,4.11,https://ww1.cuevana3.ai/40300/godzilla-vs-kong-ver
Spider-Man: Sin camino a casa," Acción, Aventura, Fantasía",2021,2h 28m,4.19,https://ww1.cuevana3.ai/52436/spider-man-no-way-home-ver
Luca," Animación, Aventura, Comedia",2021,1h 41m,4.14,https://ww1.cuevana3.ai/44720/luca-ver
Cruella," Comedia, Crimen",2021,2h 14m,4.14,https://ww1.cuevana3.ai/43611/cruella-ver
Encanto," Animación, Aventura, Comedia",2021,1h 39m,4.14,https://ww1.cuevana3.ai/51844/encanto-ver
Avengers: Endgame / Vengadores 4," Acción, Aventura, Fantasía",2019,3h 2m,4.25,https://ww1.cuevana3.ai/13310/avengers-endgame-ver
La Liga de la Justicia de Zack Snyder," Acción, Aventura, Fantasía",2021,4h 2m,4.32,https://ww1.cuevana3.ai/39793/zack-snyders-justice-league-ver
Fast & Furious 9," Acción, Aventura, Crimen",2021,2h 25m,3.74,https://ww1.cuevana3.ai/43207/f9-ver
Joker," Crimen, Drama, Thriller",2019,2h 1m,4.05,https://ww1.cuevana3.ai/21711/joker-ver
Raya y el último dragón," Acción, Animación, Aventura",2021,1h 30m,4.31,https://ww1.cuevana3.ai/39146/raya-and-the-last-dragon-ver
Venom 2: Habrá Matanza," Acción, Aventura, Ciencia Ficción",2021,1h 37m,4.11,https://ww1.cuevana3.ai/49626/venom-let-there-be-carnage-ver
Mortal Kombat," Acción, Aventura, Fantasía",2021,1h 50m,3.98,https://ww1.cuevana3.ai/41593/mortal-kombat-ver
El Escuadrón Suicida," Acción, Aventura, Comedia",2021,2h 12m,4.1,https://ww1.cuevana3.ai/46822/the-suicide-squad-ver
Harry Potter y la piedra filosofal," Aventura, Familia, Fantasía",2001,2h 32m,4.25,https://ww1.cuevana3.ai/4129/harry-potter-and-the-sorcerers-stone-ver
Soul," Animación, Aventura, Comedia",2020,1h 46m,4.23,https://ww1.cuevana3.ai/36056/soul-ver
Space Jam 2: Nuevas Leyendas," Animación, Aventura, Comedia",2021,1h 55m,4.23,https://ww1.cuevana3.ai/46088/space-jam-a-new-legacy-ver
Toy Story 4," Animación, Aventura, Comedia",2019,1h 30m,3.94,https://ww1.cuevana3.ai/16941/toy-story-4-ver
Frozen 2,"","","",4.02,https://ww1.cuevana3.ai/24388/frozen-2-ver
After. Aquí empieza todo," Drama, Romance",2019,1h 46m,3.82,https://ww1.cuevana3.ai/12857/after-ver
Expediente Warren: Obligado por el demonio," Misterio, Terror, Thriller",2021,1h 52m,4.15,https://ww1.cuevana3.ai/43927/the-conjuring-the-devil-made-me-do-it-ver
Viuda Negra," Acción, Aventura, Ciencia Ficción",2021,2h 14m,4.19,https://ww1.cuevana3.ai/45691/black-widow-ver
After: En mil pedazos," Drama, Romance",2020,1h 45m,4.07,https://ww1.cuevana3.ai/32672/after-we-collided-ver
Sonic. La película," Acción, Aventura, Familia",2020,1h 39m,4.3,https://ww1.cuevana3.ai/26185/sonic-the-hedgehog-ver
Hotel Transilvania 4: Transformanía," Animación, Aventura, Comedia",2022,1h 38m,4.11,https://ww1.cuevana3.ai/53334/hotel-transylvania-transformania-ver
Wonder Woman 1984 (La Mujer maravilla 2)," Acción, Aventura, Fantasía",2020,2h 31m,4.06,https://ww1.cuevana3.ai/36059/wonder-woman-1984-la-mujer-maravilla-2-ver
Coco," Acción, Animación, Aventura",2017,0h 0m,4.16,https://ww1.cuevana3.ai/3958/coco-vje5f-ver
Spider-Man: Lejos de Casa," Acción, Aventura, Ciencia Ficción",2019,2h 9m,4.2,https://ww1.cuevana3.ai/17631/spider-man-far-from-home-ver
El bebé jefazo: Negocios de familia," Animación, Aventura, Comedia",2021,1h 47m,4.33,https://ww1.cuevana3.ai/45428/the-boss-baby-family-business-ver
¡Canta! 2," Animación, Aventura, Comedia",2021,1h 52m,4.25,https://ww1.cuevana3.ai/52061/sing-2-ver
Avengers: Infinity War (Vengadores 3)," Acción, Aventura, Fantasía",2018,2h 29m,4.32,https://ww1.cuevana3.ai/4989/avengers-infinity-war-b3ymv-ver
Jungle Cruise," Acción, Aventura, Comedia",2021,2h 7m,4.17,https://ww1.cuevana3.ai/46539/jungle-cruise-ver
Mulán," Acción, Aventura, Drama",2020,1h 56m,4.13,https://ww1.cuevana3.ai/32513/mulan-ver
La Purga: Infinita," Acción, Ciencia Ficción, Terror",2021,1h 43m,3.78,https://ww1.cuevana3.ai/45552/the-forever-purge-ver
It: Capítulo 2," Drama, Fantasía, Terror",2019,2h 49m,3.9,https://ww1.cuevana3.ai/21035/it-chapter-two-ver
Los Croods: Una nueva era," Animación, Aventura, Comedia",2020,1h 30m,4.33,https://ww1.cuevana3.ai/35711/the-croods-a-new-age-ver
Free Guy," Acción, Ciencia Ficción, Comedia",2021,1h 55m,4.32,https://ww1.cuevana3.ai/47093/free-guy-ver
Eternals," Acción, Aventura, Drama",2021,2h 37m,4.08,https://ww1.cuevana3.ai/50953/eternals-ver
Onward," Animación, Aventura, Comedia",2020,1h 43m,4.21,https://ww1.cuevana3.ai/26991/onward-ver
La guerra del mañana," Acción, Aventura, Ciencia Ficción",2021,2h 18m,4.59,https://ww1.cuevana3.ai/45385/the-tomorrow-war-ver
El Rey León," Acción, Aventura, Drama",2019,1h 58m,3.82,https://ww1.cuevana3.ai/18728/el-rey-leon-ver
Aves de Presa (y la Fantabulosa Emancipacion de Harley Quinn)," Acción, Aventura, Crimen",2020,1h 49m,4.28,https://ww1.cuevana3.ai/25967/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn-ver
Tom y Jerry," Animación, Aventura, Comedia",2021,1h 38m,4.26,https://ww1.cuevana3.ai/38708/tom-and-jerry-ver
Parasite," Comedia, Drama, Thriller",2019,2h 12m,4.16,https://ww1.cuevana3.ai/20039/gisaengchung-ver
Capitana Marvel," Acción, Aventura, Ciencia Ficción",2019,2h 4m,3.82,https://ww1.cuevana3.ai/10357/captain-marvel-ver
Cincuenta sombras liberadas," Drama, Romance, Thriller",2018,0h 0m,3.97,https://ww1.cuevana3.ai/4383/fifty-shades-freed-54wci-ver
